Temperature	Pressure	Frequency	Sound Pressure Level
63.3048	4.7566	50000	82.9972
63.3048	4.7566	63000	82.5595
63.3048	4.7566	80000	85.0075
63.0375	6.4328	500	37.4154
63.0375	6.4328	630	37.7238
63.0375	6.4328	800	39.4052
63.0375	6.4328	1000	43.7178
63.0375	6.4328	1250	46.851
63.0375	6.4328	1600	50.2054
63.0375	6.4328	2000	52.3543
63.0375	6.4328	2500	51.7854
63.0375	6.4328	3150	55.5738
63.0375	6.4328	4000	60.5855
63.0375	6.4328	5000	63.7193
63.0375	6.4328	6300	66.2152
63.0375	6.4328	8000	69.2343
63.0375	6.4328	10000	70.838
63.0375	6.4328	12500	72.5024
63.0375	6.4328	16000	73.8398
63.0375	6.4328	20000	75.8987
63.0375	6.4328	25000	79.1304
63.0375	6.4328	31500	83.4103
63.0375	6.4328	40000	84.4042
63.0375	6.4328	50000	84.4453
63.0375	6.4328	63000	85.776
63.0375	6.4328	80000	88.588
62.7669	9.0151	500	40.2097
62.7669	9.0151	630	40.6777
62.7669	9.0151	800	41.9527
62.7669	9.0151	1000	45.9871
62.7669	9.0151	1250	48.6014
62.7669	9.0151	1600	51.5513
62.7669	9.0151	2000	53.2915
62.7669	9.0151	2500	53.3696
62.7669	9.0151	3150	56.4638
62.7669	9.0151	4000	61.1106
62.7669	9.0151	5000	64.1514
62.7669	9.0151	6300	67.2857
62.7669	9.0151	8000	71.0552
62.7669	9.0151	10000	73.3273
62.7669	9.0151	12500	75.7605
62.7669	9.0151	16000	77.7941
62.7669	9.0151	20000	80.1006
62.7669	9.0151	25000	82.4289
62.7669	9.0151	31500	85.4441
62.7669	9.0151	40000	87.1709
62.7669	9.0151	50000	87.5514
62.7669	9.0151	63000	88.6124
62.7669	9.0151	80000	91.4433
62.3725	12.6762	500	43.418
62.3725	12.6762	630	43.9744
62.3725	12.6762	800	44.9862
62.3725	12.6762	1000	49.205
62.3725	12.6762	1250	51.4205
62.3725	12.6762	1600	53.8826
62.3725	12.6762	2000	55.4641
62.3725	12.6762	2500	55.8057
62.3725	12.6762	3150	58.4792
62.3725	12.6762	4000	62.9695
62.3725	12.6762	5000	65.4533
62.3725	12.6762	6300	68.211
62.3725	12.6762	8000	72.0291
62.3725	12.6762	10000	74.6046
62.3725	12.6762	12500	78.2708
62.3725	12.6762	16000	80.2652
62.3725	12.6762	20000	83.2204
62.3725	12.6762	25000	86.09
62.3725	12.6762	31500	88.5884
62.3725	12.6762	40000	90.7195
62.3725	12.6762	50000	91.568
62.3725	12.6762	63000	92.5921
62.3725	12.6762	80000	94.7116
61.6595	18.0123	500	46.3356
61.6595	18.0123	630	47.0162
61.6595	18.0123	800	48.4489
61.6595	18.0123	1000	52.6511
61.6595	18.0123	1250	54.1616
61.6595	18.0123	1600	56.0938
61.6595	18.0123	2000	57.4256
61.6595	18.0123	2500	58.4914
61.6595	18.0123	3150	60.9804
61.6595	18.0123	4000	65.4091
61.6595	18.0123	5000	67.7156
61.6595	18.0123	6300	70.5334
61.6595	18.0123	8000	74.4185
61.6595	18.0123	10000	77.1237
61.6595	18.0123	12500	80.5158
61.6595	18.0123	16000	83.348
61.6595	18.0123	20000	86.4815
61.6595	18.0123	25000	89.6091
61.6595	18.0123	31500	92.3311
61.6595	18.0123	40000	94.8642
61.6595	18.0123	50000	96.1214
61.6595	18.0123	63000	98.1551
61.6595	18.0123	80000	100.293
61.0005	25.2775	500	49.8775
61.0005	25.2775	630	50.8608
61.0005	25.2775	800	52.0781
61.0005	25.2775	1000	56.6542
61.0005	25.2775	1250	57.7975
61.0005	25.2775	1600	59.3338
61.0005	25.2775	2000	60.3374
